20180301 020000;12361.000000;12373.750000;12360.500000;12371.000000;0
20180301 020100;12370.000000;12380.750000;12369.750000;12374.500000;0
20180301 020200;12374.250000;12379.000000;12373.500000;12377.250000;0
20180301 020300;12379.250000;12380.750000;12373.750000;12379.000000;0
20180301 020400;12379.250000;12380.250000;12377.500000;12378.000000;0
20180301 020500;12378.500000;12378.500000;12375.250000;12376.750000;0
20180301 020600;12376.500000;12390.000000;12376.250000;12388.250000;0
20180301 020700;12388.500000;12389.750000;12383.500000;12384.500000;0
20180301 020800;12385.250000;12388.000000;12384.000000;12386.750000;0
20180301 020900;12386.500000;12386.500000;12381.000000;12382.750000;0
20180301 021000;12382.250000;12382.500000;12373.500000;12379.000000;0
20180301 021100;12378.750000;12378.750000;12373.000000;12376.000000;0
20180301 021200;12375.750000;12378.500000;12374.000000;12374.500000;0
20180301 021300;12374.750000;12374.750000;12373.500000;12374.250000;0
20180301 021400;12374.500000;12376.250000;12372.750000;12376.250000;0
20180301 021500;12376.000000;12380.250000;12376.000000;12378.750000;0
20180301 021600;12378.500000;12385.000000;12378.250000;12384.250000;0
20180301 021700;12384.000000;12387.000000;12380.500000;12383.750000;0
20180301 021800;12384.000000;12385.750000;12382.750000;12383.750000;0
20180301 021900;12383.500000;12384.000000;12380.250000;12384.000000;0
20180301 022000;12383.750000;12383.750000;12374.750000;12380.000000;0
20180301 022100;12379.500000;12380.750000;12378.750000;12378.750000;0
20180301 022200;12378.500000;12378.750000;12376.500000;12377.500000;0
20180301 022300;12377.250000;12389.000000;12377.250000;12387.750000;0
20180301 022400;12387.250000;12387.250000;12381.000000;12382.500000;0
20180301 022500;12383.250000;12386.000000;12383.250000;12384.750000;0
20180301 022600;12384.500000;12390.500000;12384.500000;12388.500000;0
20180301 022700;12388.750000;12388.750000;12384.750000;12385.750000;0
20180301 022800;12385.500000;12385.750000;12379.500000;12379.500000;0
20180301 022900;12379.750000;12381.500000;12377.250000;12381.500000;0
20180301 023000;12381.000000;12382.500000;12377.500000;12380.750000;0
20180301 023100;12380.500000;12381.750000;12378.250000;12380.500000;0
20180301 023200;12380.000000;12381.250000;12378.750000;12381.000000;0
20180301 023300;12380.750000;12385.500000;12380.750000;12383.250000;0
20180301 023400;12383.000000;12384.250000;12377.250000;12378.750000;0
20180301 023500;12378.500000;12378.500000;12375.250000;12377.500000;0
20180301 023600;12377.750000;12378.750000;12376.500000;12377.000000;0
20180301 023700;12376.500000;12376.750000;12372.750000;12375.500000;0
20180301 023800;12375.750000;12376.000000;12373.500000;12374.500000;0
20180301 023900;12374.250000;12375.750000;12374.000000;12375.750000;0
20180301 024000;12376.500000;12381.000000;12375.250000;12377.000000;0
20180301 024100;12376.750000;12382.250000;12375.250000;12382.000000;0
20180301 024200;12381.750000;12382.000000;12380.000000;12380.750000;0
20180301 024300;12381.000000;12386.000000;12381.000000;12383.250000;0
20180301 024400;12383.000000;12387.000000;12383.000000;12386.250000;0
20180301 024500;12386.750000;12387.500000;12381.250000;12383.000000;0
20180301 024600;12382.750000;12388.750000;12382.750000;12388.500000;0
20180301 024700;12388.250000;12388.750000;12385.250000;12387.250000;0
20180301 024800;12387.750000;12389.000000;12386.500000;12388.000000;0
20180301 024900;12387.750000;12391.250000;12387.750000;12388.000000;0
20180301 025000;12388.250000;12391.250000;12386.750000;12389.000000;0
20180301 025100;12388.750000;12391.250000;12386.250000;12390.750000;0
20180301 025200;12391.250000;12395.500000;12391.000000;12395.500000;0
20180301 025300;12395.250000;12396.000000;12391.500000;12391.750000;0
20180301 025400;12391.500000;12392.750000;12388.750000;12391.000000;0
20180301 025500;12390.500000;12391.500000;12387.250000;12388.750000;0
20180301 025600;12389.000000;12389.000000;12384.250000;12384.250000;0
20180301 025700;12384.500000;12385.500000;12383.000000;12383.000000;0
20180301 025800;12382.500000;12386.000000;12382.500000;12386.000000;0
20180301 025900;12385.750000;12386.250000;12379.250000;12380.000000;0
20180301 030000;12379.750000;12381.000000;12367.000000;12372.750000;0
20180301 030100;12372.000000;12387.000000;12366.250000;12384.000000;0
20180301 030200;12383.750000;12384.250000;12378.500000;12379.000000;0
20180301 030300;12378.750000;12379.750000;12372.250000;12376.250000;0
20180301 030400;12376.750000;12377.750000;12368.000000;12369.000000;0
20180301 030500;12369.250000;12372.250000;12354.500000;12354.500000;0
20180301 030600;12354.250000;12368.750000;12354.250000;12367.750000;0
20180301 030700;12368.000000;12377.750000;12367.750000;12375.750000;0
20180301 030800;12374.000000;12374.000000;12363.750000;12364.250000;0
20180301 030900;12364.000000;12364.250000;12354.750000;12357.000000;0
20180301 031000;12357.500000;12358.500000;12353.000000;12356.000000;0
20180301 031100;12355.500000;12359.250000;12344.000000;12344.000000;0
20180301 031200;12343.500000;12348.250000;12342.750000;12347.750000;0
20180301 031300;12348.000000;12351.250000;12345.750000;12348.250000;0
20180301 031400;12348.000000;12354.000000;12348.000000;12353.750000;0
20180301 031500;12354.000000;12354.000000;12346.750000;12347.500000;0
20180301 031600;12347.250000;12348.500000;12340.000000;12342.500000;0
20180301 031700;12342.750000;12345.000000;12333.500000;12333.750000;0
20180301 031800;12334.000000;12341.250000;12333.250000;12340.750000;0
20180301 031900;12340.500000;12346.000000;12338.250000;12338.750000;0
20180301 032000;12339.250000;12339.250000;12335.500000;12337.750000;0
20180301 032100;12338.000000;12351.500000;12338.000000;12351.250000;0
20180301 032200;12351.500000;12368.000000;12351.250000;12365.750000;0
20180301 032300;12365.250000;12365.750000;12362.750000;12362.750000;0
