time,close,high,low,open,volume
2017-05-01 00:00:00,9.506,9.506,9.482,9.482,25
2017-05-01 00:01:00,9.492,9.502,9.492,9.502,18
2017-05-01 00:02:00,9.496,9.498,9.492,9.495,11
2017-05-01 00:03:00,9.506,9.506,9.498,9.498,4
2017-05-01 00:04:00,9.498,9.508,9.498,9.506,11
2017-05-01 00:05:00,9.51,9.512,9.496,9.496,25
2017-05-01 00:06:00,9.502,9.508,9.502,9.508,8
2017-05-01 00:07:00,9.482,9.501,9.482,9.501,27
2017-05-01 00:08:00,9.484,9.484,9.478,9.48,12
2017-05-01 00:09:00,9.486,9.486,9.486,9.486,1
2017-05-01 00:10:00,9.49,9.49,9.48,9.482,8
2017-05-01 00:11:00,9.49,9.494,9.49,9.494,5
2017-05-01 00:13:00,9.478,9.5,9.478,9.494,39
2017-05-01 00:14:00,9.492,9.492,9.48,9.48,14
2017-05-01 00:15:00,9.492,9.498,9.492,9.496,14
2017-05-01 00:16:00,9.488,9.496,9.486,9.49,13
2017-05-01 00:17:00,9.486,9.489,9.484,9.489,6
2017-05-01 00:18:00,9.48,9.484,9.48,9.484,4
2017-05-01 00:19:00,9.478,9.479,9.478,9.478,5
2017-05-01 00:20:00,9.48,9.48,9.48,9.48,1
2017-05-01 00:22:00,9.478,9.479,9.474,9.479,10
2017-05-01 00:23:00,9.482,9.486,9.482,9.482,5
2017-05-01 00:24:00,9.486,9.486,9.484,9.484,2
2017-05-01 00:26:00,9.482,9.488,9.479,9.486,28
2017-05-01 00:27:00,9.48,9.482,9.478,9.482,11
2017-05-01 00:28:00,9.476,9.48,9.476,9.479,5
2017-05-01 00:29:00,9.476,9.478,9.476,9.477,3
2017-05-01 00:30:00,9.474,9.474,9.47,9.472,4
2017-05-01 00:32:00,9.47,9.472,9.469,9.472,4
2017-05-01 00:33:00,9.474,9.474,9.472,9.472,6
2017-05-01 00:34:00,9.478,9.478,9.474,9.474,7
2017-05-01 00:35:00,9.482,9.482,9.482,9.482,1
2017-05-01 00:36:00,9.488,9.488,9.485,9.485,6
2017-05-01 00:38:00,9.49,9.492,9.489,9.49,10
2017-05-01 00:39:00,9.488,9.49,9.488,9.488,5
2017-05-01 00:40:00,9.486,9.489,9.482,9.489,16
2017-05-01 00:41:00,9.484,9.49,9.484,9.488,10
2017-05-01 00:42:00,9.488,9.491,9.488,9.49,5
2017-05-01 00:43:00,9.49,9.49,9.489,9.49,3
2017-05-01 00:46:00,9.488,9.488,9.487,9.488,3
2017-05-01 00:48:00,9.484,9.484,9.484,9.484,1
2017-05-01 00:54:00,9.482,9.482,9.482,9.482,1
2017-05-01 00:58:00,9.478,9.479,9.478,9.479,2
2017-05-01 00:59:00,9.478,9.479,9.478,9.479,2
2017-05-01 01:00:00,9.482,9.482,9.482,9.482,3
2017-05-01 01:01:00,9.48,9.481,9.48,9.481,2
2017-05-01 01:02:00,9.478,9.479,9.478,9.479,2
2017-05-01 01:04:00,9.478,9.48,9.478,9.48,6
2017-05-01 01:06:00,9.482,9.482,9.482,9.482,1
2017-05-01 01:09:00,9.484,9.484,9.484,9.484,1
2017-05-01 01:10:00,9.482,9.486,9.482,9.486,3
2017-05-01 01:11:00,9.482,9.485,9.482,9.484,6
2017-05-01 01:12:00,9.486,9.486,9.484,9.484,2
2017-05-01 01:13:00,9.482,9.484,9.482,9.484,2
2017-05-01 01:14:00,9.488,9.488,9.488,9.488,1
2017-05-01 01:16:00,9.49,9.49,9.49,9.49,1
2017-05-01 01:17:00,9.488,9.488,9.488,9.488,1
2017-05-01 01:25:00,9.484,9.484,9.484,9.484,1
2017-05-01 01:29:00,9.486,9.486,9.485,9.485,2
2017-05-01 01:32:00,9.482,9.484,9.48,9.482,8
2017-05-01 01:33:00,9.48,9.482,9.48,9.482,2
2017-05-01 01:40:00,9.484,9.484,9.484,9.484,1
2017-05-01 01:41:00,9.484,9.484,9.48,9.48,7
2017-05-01 01:42:00,9.484,9.484,9.484,9.484,1
2017-05-01 01:43:00,9.486,9.486,9.48,9.486,7
2017-05-01 01:44:00,9.49,9.49,9.487,9.487,3
2017-05-01 01:45:00,9.49,9.492,9.49,9.492,2
2017-05-01 01:47:00,9.49,9.492,9.49,9.492,2
2017-05-01 01:49:00,9.492,9.492,9.492,9.492,2
2017-05-01 01:50:00,9.49,9.492,9.49,9.492,2
2017-05-01 01:51:00,9.488,9.489,9.488,9.489,2
2017-05-01 01:52:00,9.488,9.488,9.486,9.487,6
2017-05-01 01:53:00,9.49,9.49,9.487,9.487,3
2017-05-01 01:58:00,9.492,9.492,9.492,9.492,2
2017-05-01 01:59:00,9.49,9.49,9.49,9.49,3
