time,close,high,low,open,volume
2018-07-02 00:00:00,7625.6,7632.6,7625.6,7632.6,27
2018-07-02 00:01:00,7621.0,7625.3,7620.6,7625.3,10
2018-07-02 00:02:00,7621.8,7622.6,7621.6,7621.6,13
2018-07-02 00:03:00,7621.3,7621.6,7621.3,7621.6,2
2018-07-02 00:04:00,7619.0,7620.8,7619.0,7620.8,8
2018-07-02 00:05:00,7614.0,7619.3,7612.6,7618.0,18
2018-07-02 00:06:00,7617.8,7617.8,7614.0,7614.3,18
2018-07-02 00:07:00,7619.6,7619.8,7618.3,7618.3,8
2018-07-02 00:08:00,7621.8,7621.8,7619.9,7619.9,8
2018-07-02 00:09:00,7623.8,7623.8,7622.0,7622.3,9
2018-07-02 00:10:00,7623.0,7623.6,7623.0,7623.6,3
2018-07-02 00:11:00,7623.6,7624.3,7623.6,7623.6,7
2018-07-02 00:12:00,7621.3,7623.2,7620.3,7623.2,14
2018-07-02 00:13:00,7622.6,7622.6,7621.0,7621.0,8
2018-07-02 00:14:00,7624.0,7624.0,7622.8,7622.8,6
2018-07-02 00:15:00,7625.8,7626.0,7623.6,7623.8,10
2018-07-02 00:16:00,7625.6,7625.6,7625.6,7625.6,1
2018-07-02 00:17:00,7624.8,7625.3,7624.8,7625.3,3
2018-07-02 00:18:00,7625.3,7625.3,7620.8,7624.6,21
2018-07-02 00:19:00,7623.6,7626.0,7623.6,7625.6,13
2018-07-02 00:20:00,7623.8,7624.0,7623.3,7623.8,10
2018-07-02 00:21:00,7623.6,7623.8,7623.6,7623.6,5
2018-07-02 00:22:00,7623.6,7623.8,7623.6,7623.8,2
2018-07-02 00:24:00,7624.0,7624.0,7623.8,7623.8,2
2018-07-02 00:25:00,7623.0,7626.3,7622.8,7624.4,14
2018-07-02 00:26:00,7623.0,7623.6,7622.3,7622.3,6
2018-07-02 00:27:00,7622.6,7622.6,7622.6,7622.6,1
2018-07-02 00:28:00,7621.6,7622.0,7620.4,7622.0,6
2018-07-02 00:29:00,7621.6,7622.0,7621.6,7621.8,8
2018-07-02 00:30:00,7621.0,7621.3,7620.8,7621.3,4
2018-07-02 00:33:00,7622.6,7622.6,7621.3,7621.3,5
2018-07-02 00:34:00,7623.6,7623.6,7623.0,7623.0,2
2018-07-02 00:35:00,7623.8,7623.8,7623.8,7623.8,1
2018-07-02 00:41:00,7624.0,7624.0,7624.0,7624.0,1
2018-07-02 00:43:00,7624.0,7624.0,7624.0,7624.0,1
2018-07-02 00:46:00,7624.3,7624.3,7624.3,7624.3,1
2018-07-02 00:54:00,7620.3,7623.7,7618.8,7623.7,12
2018-07-02 00:56:00,7616.8,7619.8,7616.8,7619.8,12
2018-07-02 00:57:00,7616.0,7616.6,7616.0,7616.6,4
2018-07-02 00:58:00,7617.6,7618.0,7615.5,7615.6,18
2018-07-02 00:59:00,7618.6,7618.6,7617.8,7617.8,4
2018-07-02 01:00:00,7618.3,7618.8,7618.3,7618.4,5
2018-07-02 01:01:00,7618.6,7618.8,7618.6,7618.6,5
2018-07-02 01:02:00,7620.0,7620.0,7618.6,7618.8,6
2018-07-02 01:03:00,7620.3,7620.3,7620.3,7620.3,1
