date,open,high,low,close
2018-01-01 00:00:00,13880.0,13906.37,13841.0,13841.01
2018-01-01 00:01:00,13841.01,13890.43,13841.01,13890.43
2018-01-01 00:02:00,13846.64,13890.35,13846.64,13847.51
2018-01-01 00:03:00,13847.51,13874.92,13823.19,13823.19
2018-01-01 00:04:00,13823.19,13826.75,13803.2,13803.2
2018-01-01 00:05:00,13826.1,13826.1,13734.45,13737.93
2018-01-01 00:06:00,13737.93,13777.3,13700.2,13700.2
2018-01-01 00:07:00,13700.22,13752.68,13678.88,13688.9
2018-01-01 00:08:00,13688.9,13754.46,13671.79,13752.63
2018-01-01 00:09:00,13743.86,13752.62,13721.38,13752.62
2018-01-01 00:10:00,13721.37,13727.91,13721.37,13727.91
2018-01-01 00:11:00,13735.75,13735.77,13728.73,13735.77
2018-01-01 00:12:00,13723.4,13764.45,13678.39,13714.98
2018-01-01 00:13:00,13714.97,13714.97,13700.97,13703.06
2018-01-01 00:14:00,13714.98,13715.0,13695.87,13715.0
2018-01-01 00:15:00,13745.73,13745.73,13694.73,13696.93
2018-01-01 00:16:00,13685.88,13687.37,13666.03,13666.03
2018-01-01 00:17:00,13680.0,13680.0,13640.0,13640.85
2018-01-01 00:18:00,13640.01,13650.0,13631.95,13631.95
2018-01-01 00:19:00,13631.95,13650.0,13631.95,13645.0
2018-01-01 00:20:00,13645.0,13650.0,13645.0,13650.0
2018-01-01 00:21:00,13649.99,13650.0,13632.65,13632.71
2018-01-01 00:22:00,13632.71,13650.0,13631.95,13650.0
2018-01-01 00:23:00,13650.0,13650.0,13635.0,13635.0
2018-01-01 00:24:00,13635.0,13650.0,13631.95,13650.0
2018-01-01 00:25:00,13635.01,13693.8,13635.0,13693.8
2018-01-01 00:26:00,13680.03,13740.58,13668.5,13740.58
2018-01-01 00:27:00,13741.22,13741.23,13704.1,13725.69
2018-01-01 00:28:00,13704.1,13760.27,13704.1,13731.56
2018-01-01 00:29:00,13704.11,13731.54,13671.35,13726.16
2018-01-01 00:30:00,13699.98,13699.98,13634.3,13699.91
